region,feature_names
Awdal,"['Borama - Maize (white)', 'Borama - Rice (imported)', 'Borama - Sorghum (red)', 'Borama - Sorghum (red)', 'Fatalities due to Conflict', 'Temperature']"
Bakool,"['Xudur - Maize (white)', 'Xudur - Rice (imported)', 'Xudur - Sorghum (red)', 'Xudur - Sorghum (red)', 'Fatalities due to Conflict', 'Temperature']"
Banadir,"['Mogadishu - Maize (white)', 'Mogadishu - Rice (imported)', 'Mogadishu - Sorghum (red)', 'Mogadishu - Sorghum (red)', 'Fatalities due to Conflict', 'Temperature']"
Bari,"['Bossaso - Maize (white)', 'Bossaso - Rice (imported)', 'Bossaso - Sorghum (red)', 'Bossaso - Sorghum (red)', 'Fatalities due to Conflict', 'Temperature']"
Bay,"['Baidoa - Maize (white)', 'Baidoa - Rice (imported)', 'Baidoa - Sorghum (red)', 'Baidoa - Sorghum (red)', 'Fatalities due to Conflict', 'Temperature']"
Hiraan,"['Beletweyne - Maize (white)', 'Beletweyne - Rice (imported)', 'Beletweyne - Sorghum (red)', 'Beletweyne - Sorghum (red)', 'Fatalities due to Conflict', 'Temperature']"
Lower Juba,"['Kismayo - Maize (white)', 'Kismayo - Rice (imported)', 'Kismayo - Rice (imported)', 'Fatalities due to Conflict', 'Temperature']"
Lower Shabelle,"['Qorioley - Maize (white)', 'Qorioley - Maize (white)', 'Fatalities due to Conflict', 'Temperature']"
Middle Juba,"['Buale - Maize (white)', 'Buale - Rice (imported)', 'Buale - Rice (imported)', 'Fatalities due to Conflict', 'Temperature']"
Mudug,"['Gaalkacyo - Maize (white)', 'Gaalkacyo - Rice (imported)', 'Gaalkacyo - Sorghum (red)', 'Gaalkacyo - Sorghum (red)', 'Fatalities due to Conflict', 'Temperature']"
Nugaal,"['Garowe - Maize (white)', 'Garowe - Rice (imported)', 'Garowe - Sorghum (red)', 'Garowe - Sorghum (red)', 'Fatalities due to Conflict', 'Temperature']"
Sool,"['Lasanod - Rice (imported)', 'Lasanod - Sorghum (white)', 'Lasanod - Sorghum (white)', 'Fatalities due to Conflict', 'Temperature']"
Woqooyi Galbeed,"['Hargeysa - Maize (white)', 'Hargeysa - Rice (imported)', 'Hargeysa - Sorghum (red)', 'Hargeysa - Sorghum (red)', 'Fatalities due to Conflict', 'Temperature']"
